,date,season,holiday,weekday,workingday,weather,casual,registered,count
0,2011-01-01,1,0,6,0,2,331,654,985
1,2011-01-02,1,0,0,0,2,131,670,801
2,2011-01-03,1,0,1,1,1,120,1229,1349
3,2011-01-04,1,0,2,1,1,108,1454,1562
4,2011-01-05,1,0,3,1,1,82,1518,1600
5,2011-01-06,1,0,4,1,1,88,1518,1606
6,2011-01-07,1,0,5,1,2,148,1362,1510
7,2011-01-08,1,0,6,0,2,68,891,959
8,2011-01-09,1,0,0,0,1,54,768,822
9,2011-01-10,1,0,1,1,1,41,1280,1321
10,2011-01-11,1,0,2,1,2,43,1220,1263
11,2011-01-12,1,0,3,1,1,25,1137,1162
12,2011-01-13,1,0,4,1,1,38,1368,1406
13,2011-01-14,1,0,5,1,1,54,1367,1421
14,2011-01-15,1,0,6,0,2,222,1026,1248
15,2011-01-16,1,0,0,0,1,251,953,1204
16,2011-01-17,1,1,1,0,2,117,883,1000
17,2011-01-18,1,0,2,1,2,9,674,683
18,2011-01-19,1,0,3,1,2,78,1572,1650
19,2011-01-20,1,0,4,1,2,83,1844,1927
20,2011-01-21,1,0,5,1,1,75,1468,1543
21,2011-01-22,1,0,6,0,1,93,888,981
22,2011-01-23,1,0,0,0,1,150,836,986
23,2011-01-24,1,0,1,1,1,86,1330,1416
24,2011-01-25,1,0,2,1,2,186,1799,1985
25,2011-01-26,1,0,3,1,3,34,472,506
26,2011-01-27,1,0,4,1,1,15,416,431
27,2011-01-28,1,0,5,1,2,38,1129,1167
28,2011-01-29,1,0,6,0,1,123,975,1098
29,2011-01-30,1,0,0,0,1,140,956,1096
30,2011-01-31,1,0,1,1,2,42,1459,1501
31,2011-02-01,1,0,2,1,2,47,1313,1360
32,2011-02-02,1,0,3,1,2,72,1454,1526
33,2011-02-03,1,0,4,1,1,61,1489,1550
34,2011-02-04,1,0,5,1,2,88,1620,1708
35,2011-02-05,1,0,6,0,2,100,905,1005
36,2011-02-06,1,0,0,0,1,354,1269,1623
37,2011-02-07,1,0,1,1,1,120,1592,1712
38,2011-02-08,1,0,2,1,1,64,1466,1530
39,2011-02-09,1,0,3,1,2,53,1552,1605
40,2011-02-10,1,0,4,1,1,47,1491,1538
41,2011-02-11,1,0,5,1,1,149,1597,1746
42,2011-02-12,1,0,6,0,1,288,1184,1472
43,2011-02-13,1,0,0,0,1,397,1192,1589
44,2011-02-14,1,0,1,1,1,208,1705,1913
