,date,season,hour,holiday,weekday,workingday,weather,casual,registered,count
0,2011-01-01,1,0,0,6,0,1,3,13,16
1,2011-01-01,1,1,0,6,0,1,8,32,40
2,2011-01-01,1,2,0,6,0,1,5,27,32
3,2011-01-01,1,3,0,6,0,1,3,10,13
4,2011-01-01,1,4,0,6,0,1,0,1,1
5,2011-01-01,1,5,0,6,0,2,0,1,1
6,2011-01-01,1,6,0,6,0,1,2,0,2
7,2011-01-01,1,7,0,6,0,1,1,2,3
8,2011-01-01,1,8,0,6,0,1,1,7,8
9,2011-01-01,1,9,0,6,0,1,8,6,14
10,2011-01-01,1,10,0,6,0,1,12,24,36
11,2011-01-01,1,11,0,6,0,1,26,30,56
12,2011-01-01,1,12,0,6,0,1,29,55,84
13,2011-01-01,1,13,0,6,0,2,47,47,94
14,2011-01-01,1,14,0,6,0,2,35,71,106
15,2011-01-01,1,15,0,6,0,2,40,70,110
16,2011-01-01,1,16,0,6,0,2,41,52,93
17,2011-01-01,1,17,0,6,0,2,15,52,67
18,2011-01-01,1,18,0,6,0,3,9,26,35
19,2011-01-01,1,19,0,6,0,3,6,31,37
20,2011-01-01,1,20,0,6,0,2,11,25,36
21,2011-01-01,1,21,0,6,0,2,3,31,34
22,2011-01-01,1,22,0,6,0,2,11,17,28
23,2011-01-01,1,23,0,6,0,2,15,24,39
24,2011-01-02,1,0,0,0,0,2,4,13,17
25,2011-01-02,1,1,0,0,0,2,1,16,17
26,2011-01-02,1,2,0,0,0,2,1,8,9
27,2011-01-02,1,3,0,0,0,2,2,4,6
28,2011-01-02,1,4,0,0,0,2,2,1,3
29,2011-01-02,1,6,0,0,0,3,0,2,2
30,2011-01-02,1,7,0,0,0,2,0,1,1
31,2011-01-02,1,8,0,0,0,3,0,8,8
32,2011-01-02,1,9,0,0,0,2,1,19,20
33,2011-01-02,1,10,0,0,0,2,7,46,53
34,2011-01-02,1,11,0,0,0,2,16,54,70
35,2011-01-02,1,12,0,0,0,2,20,73,93
36,2011-01-02,1,13,0,0,0,2,11,64,75
37,2011-01-02,1,14,0,0,0,3,4,55,59
38,2011-01-02,1,15,0,0,0,3,19,55,74
39,2011-01-02,1,16,0,0,0,3,9,67,76
40,2011-01-02,1,17,0,0,0,1,7,58,65
41,2011-01-02,1,18,0,0,0,2,10,43,53
42,2011-01-02,1,19,0,0,0,1,1,29,30
43,2011-01-02,1,20,0,0,0,1,5,17,22
44,2011-01-02,1,21,0,0,0,1,11,20,31
45,2011-01-02,1,22,0,0,0,1,0,9,9
46,2011-01-02,1,23,0,0,0,1,0,8,8
47,2011-01-03,1,0,0,1,1,1,0,5,5
48,2011-01-03,1,1,0,1,1,1,0,2,2
